sku,manufacturer_brand,manufacturer_part_number
1120040206,DOTLUX GmbH,5068-1
1120042200,EAGLERISE,FLS-42-1050-DALI2-LD-PRO-C
1120044200,EAGLERISE,FLS-44-1050 DALI2 LD1C
1120044201,DOTLUX GmbH,5068-M
1120045200,Tridonic Schweiz AG,87500923
1120045201,Tridonic Schweiz AG,87501148
1120050200,Inventronics Netherlands B.V.,4052899548251
1120050201,LUX-IT GmbH,373932 / TCI-122409
1120050202,Tridonic Schweiz AG,28000656
1120050203,Tridonic Schweiz AG,28000655
1120050204,DOTLUX GmbH,6074
1120050205,DOTLUX GmbH,5047
1120050206,EAGLERISE,FMS-50-1050 DALI2 LD
1120050207,Tridonic Schweiz AG,28002371
1120060200,MEAN WELL,LCM-60DA2
1120060201,LUX-IT GmbH,TCI-127409
1120060202,Inventronics Netherlands B.V.,4052899494206 | OTi DALI 60/220-240/550 D LT2 L
1120060203,Tridonic Schweiz AG,28003603
1120060204,MEAN WELL,XLC-60-H-DA2SN
1120075200,Tridonic Schweiz AG,28003203
1120075201,Inventronics Netherlands B.V.,4062172126250 | ETi DALI 75/220-240/1A4 LT2 L
1120075202,Tridonic Schweiz AG,28000660
1120075203,Tridonic Schweiz AG,28004634
1120075204,Tridonic Schweiz AG,28000657
1120075205,EAGLERISE,FMS-75-1800 DALI2 LD
1120080200,Inventronics Netherlands B.V.,4052899028050 | OTi DALI 80/220-240/2A1 LT2 L
1120090200,Inventronics Netherlands B.V.,4008321867568
1120100200,Tridonic Schweiz AG,28001571
1123007200,Brumberg Leuchten GmbH & Co. KG,17684000
1123009200,Brumberg Leuchten GmbH & Co. KG,17658000
1123012200,RIBAG Licht AG,915.019.350 DIG
1123015200,Lunatone,89453849-350
1123017200,Inventron AG,211-003-200
1123045200,Unbekannt,IDLC-45-350DA
1125024200,,
1125024201,,
1125045200,MEAN WELL,3265875 | IDLC-45-500DA
1127025200,Inventronics Netherlands B.V.,4052899488144 | OTi DALI 25/220-240/700 LT2
1127025201,Ervotech AG,89453849-700
1127030200,,
1127030201,,17708000
1127030202,Lichtteam AG,LNDC30W700LRP
1127045200,Inventronics Netherlands B.V.,4008321819192
1129025200,,
1129025201,,
1129025202,,
1129030200,,
1130010200,Unbekannt,LUP10-LCPH
1130021200,Tridonic Schweiz AG,87500603
1130044200,Tridonic Schweiz AG,87500605
1132012200,Inventron AG,211-A0D-001
1133007200,Brumberg Leuchten GmbH & Co. KG,17663000
1133010200,Brumberg Leuchten GmbH & Co. KG,17615000
1133010201,LUX-IT GmbH,TCI127040
1133018200,Brumberg Leuchten GmbH & Co. KG,17643010
1133020200,Brumberg Leuchten GmbH & Co. KG,17617000
1140010200,Tridonic Schweiz AG,28000663
1140017200,Tridonic Schweiz AG,28000674
1140025200,Tridonic Schweiz AG,28000675
1140025201,Tridonic Schweiz AG,28000665
1140030200,EAGLERISE,SRP-2305-30-CC-MULTIDIM
1140045200,Tridonic Schweiz AG,28000666
1140045201,Tridonic Schweiz AG,28000676
1140050200,LUX-IT GmbH,367946 DC-MAXI-JOLLY
1140050201,EAGLERISE,SRP-2305-50L-CC-MULTIDIM
1140085200,Tridonic Schweiz AG,28002830
1150050200,EAGLERISE,SRP-2106-50L-C1000
1160010200,Tridonic Schweiz AG,28002411
1160017200,Tridonic Schweiz AG,28002412
1160032200,Fabotech Handels AG,127016
1160038200,Tridonic Schweiz AG,28002858
1160038203,Tridonic Schweiz AG,28003716
1160040200,Tridonic Schweiz AG,28003057
1160045200,Tridonic Schweiz AG,28002414
1160060200,MEAN WELL,LCM-60BLE
1160060201,Tridonic Schweiz AG,28004619
1167028200,Tridonic Schweiz AG,28003715
1170010200,EAGLERISE,SRP-9101-10-C500NFC
1170036200,EAGLERISE,SRP-9101-36-C1050NFC
1201003200,LUX-IT GmbH,358847
1201006201,Waiberlon,375833 / HLV1206L1
1201012200,LUX-IT GmbH,TCI-122740
1201015201,Brumberg Leuchten GmbH & Co. KG,17106000
1201016300,MEAN WELL,LPF-16-12
1201020600,,PLN-20-12
1201025600,MEAN WELL,LPF-25-12
1201030200,Brumberg Leuchten GmbH & Co. KG,17110000
1201030201,Unbekannt,PLC-30-12
1201030202,Allegra Swiss GmbH,113286
1201040600,MEAN WELL,LPF-40-12
1201045200,Unbekannt,PLC-45-12
1201050200,Unbekannt,SLD-50-12
1201060200,Unbekannt,PLC-100-12
1201060201,Unbekannt,US-60-12 LI
1201070200,Inventronics Netherlands B.V.,4050300442310
1201070201,ISOLED,363745 / 111213
1201070202,,
1201080600,MEAN WELL,HLG-80H-12A
1201084200,Tridonic Schweiz AG,22176410
1201100200,Allegra Swiss GmbH,113053
1201105200,Inventronics Netherlands B.V.,4050300442334
1201120200,Inventronics Netherlands B.V.,4008321790835
1201120600,MEAN WELL,HLG-120H-12A
1201150200,Inventronics Netherlands B.V.,4050300581415
1201150201,,42150e
1201150600,MEAN WELL,HLG-150H-12A
1201185600,MEAN WELL,HLG-185H-12A
1201240600,MEAN WELL,HLG-240H-12A
1201320600,MEAN WELL,HLG-320H-12A
1201600601,MEAN WELL,HLG-600H-12A
1202003200,MEAN WELL,358847 - PTDC/3/24V/N
1202005200,Robert Widmer AG,N 215/02
1202006200,LUX-IT GmbH,3779779 / HLV2406L1
1202006201,Unbekannt,SS-6-24 MB
1202008200,Inventronics Netherlands B.V.,4008321040169
1202010200,L&L Luce&Light Srl,AV24010IP20
1202012200,,373624 TCI-122742
1202015200,,370080
1202015201,,49.15r.24.00
1202016300,MEAN WELL,LPF-16-24
1202018200,Tridonic Schweiz AG,87500938
1202018201,Unbekannt,SS-18-24 MB
1202019200,,90 FBE024
1202020200,Inventronics Netherlands B.V.,4050300618111 | OT 20/220-240/24
1202020201,Beat Bucher AG,76.32726.11
1202020202,Novitronic AG,N4343FAH00062
1202020500,smarterion AG,TCI_127328
1202024200,,362208TRA-24V-24W-IS
1202024600,Victron Energy,V TR12-24-1 | 305 804 109
1202025400,Unbekannt,APV-25-24
1202025600,MEAN WELL,LPF-25-24
1202030200,Unbekannt,PLC-30-24
1202030201,,369052 / TRA-24V-30W
1202030202,Inventronics Netherlands B.V.,4052899605503 | ELEMENT 30/220-240/24 G2
1202030203,MEAN WELL,LS-30-24 LI EXC
1202030204,Unbekannt,US-30-24 LR1
1202030205,DOTLUX GmbH,5075
1202030600,LUX-IT GmbH,358699 TRA-24V-30W-I
1202030601,LEOMAY TECHNOLOGY COMPANY LIMITED,KAV-24030-0(W)
1202035200,,HS-35-24
1202035201,Tridonic Schweiz AG,87501091
1202036400,MEAN WELL,APV-35-24
1202040201,Novitronic AG,N4343FAH00061
1202040600,MEAN WELL,LPF-40-24
1202040601,MEAN WELL,HLG-40H-24A
1202042200,PHOENIX CONTACT AG,2868648
1202045200,Unbekannt,PLC-45-24
1202045600,,
1202050200,Inventronics Netherlands B.V.,4052899905566
1202050201,Unbekannt,SLD-50-24
1202060200,Inventronics Netherlands B.V.,4052899605527 | ELEMENT 60/220-240/24 G2
1202060201,MEAN WELL,PLC-60-24
1202060202,Novitronic AG,N4343FAH00060
1202060203,,HS-60-24
1202060204,PHOENIX CONTACT AG,2868651
1202060205,EAGLERISE,LS-60-24-LI-EXC
1202060206,Tridonic Schweiz AG,87501092
1202060207,Unbekannt,US-60-24 LR2
1202060208,DOTLUX GmbH,5076
1202060600,MEAN WELL,LPF-60-24
1202060601,MEAN WELL,HLG-60H-24A
1202070200,LUX-IT GmbH,TCI 122180 | 386097
1202075200,Inventronics Netherlands B.V.,4050300817477
1202075201,Allegra Swiss GmbH,112023
1202075600,Inventronics Netherlands B.V.,4008321362476
1202075601,SELF,SLT75-24VFC-UN
1202080600,MEAN WELL,HLG-80H-24A
1202090200,Inventronics Netherlands B.V.,4052899463813
1202090201,Häfele Schweiz AG,833.77.974
1202100200,Unbekannt,US-100-24 LR1
1202100201,MEAN WELL,PLC-100-24
1202100202,Novitronic AG,N4343FAH00015
1202100203,,HS-100-24
1202100204,unex lighting AG,043-024-101
1202100205,Tridonic Schweiz AG,87501093
1202100206,reichelt elektronik GmbH,SLF SLT100-24VFG
1202100600,MEAN WELL,HLG-100H-24A
1202120200,MEAN WELL,GST120A24-P1M + NETZKABEL T12-C13
1202120201,Inventronics Netherlands B.V.,4052899605541 | ELEMENT 120/220-240/24 G2
1202120202,EAGLERISE,LS-120-24 LI1
1202120203,Häfele Schweiz AG,850.00.845
1202120204,Inventronics Netherlands B.V.,4008321981707
1202120205,Unbekannt,LS-120-24-LI-EXC
1202120605,MEAN WELL,HLG-120H-24A
1202130600,Inventronics Netherlands B.V.,4052899546004 | OT 130/220-240/24 P
1202150201,,HS-150-24
1202150600,MEAN WELL,HLG-150H-24A
1202160200,Unbekannt,GST160A24-R7B+St. CH
1202185600,MEAN WELL,HLG-185H-24A
1202200200,,HS-200-24
1202200201,Tridonic Schweiz AG,87501053
1202200600,Unbekannt,NPF-200-24
1202240600,MEAN WELL,HLG-240H-24A
1202240601,Inventronics Netherlands B.V.,4008321981721
1202250200,,HS-250-24
1202250201,Inventronics Netherlands B.V.,4062172135917 | OT SLIM 250/220-240/24
1202320600,MEAN WELL,HLG-320H-24A
1202480600,MEAN WELL,HLG-480H-24A
1202600600,MEAN WELL,HLG-600H-24A
1203150600,MEAN WELL,HLG-150H-36A
1204035200,Tridonic Schweiz AG,87501112
1204150600,MEAN WELL,HLG-150H-48A
1204320600,MEAN WELL,HLG-320H-48A
1204480600,MEAN WELL,HLG-480H-48A
1211015200,Inventronics Netherlands B.V.,4052899905559
1211020200,Brumberg Leuchten GmbH & Co. KG,3506
1211040600,MEAN WELL,HLG-40H-12B
1211120600,MEAN WELL,HLG-120H-12B
1211150600,MEAN WELL,HLG-150H-12B
1211185600,MEAN WELL,HLG-185H-12B
1211240600,MEAN WELL,HLG-240H-12B
1211320600,MEAN WELL,HLG-320H-12B
1212020200,Inventronics Netherlands B.V.,4050300662626
1212025200,Unbekannt,IDLV-25-24
1212025600,MEAN WELL,LPF-25D-24
1212040600,MEAN WELL,LPF-40D-24
1212040601,MEAN WELL,HLG-40H-24B
1212040602,MEAN WELL,NPF-40D-24
1212045200,Unbekannt,IDLV-45-24
1212060200,MEAN WELL,XLC-60-24-BS
1212060600,MEAN WELL,HLG-60H-24B
1212080200,Inventronics Netherlands B.V.,4008321981677
1212080601,MEAN WELL,HLG-80H-24B
1212100600,MEAN WELL,HLG-100H-24B
1212120200,Inventronics Netherlands B.V.,4008321981691
1212120601,MEAN WELL,HLG-120H-24B
1212150600,MEAN WELL,HLG-150H-24B
1212185600,MEAN WELL,HLG-185H-24B
1212240200,Inventronics Netherlands B.V.,4008321981714
1212240601,MEAN WELL,HLG-240H-24B
1212320600,MEAN WELL,HLG-320H-24B
1212480600,MEAN WELL,HLG-480H-24B
1212600600,MEAN WELL,HLG-600H-24B
1221060200,MEAN WELL,XLC-60-12-DA2S
1221060201,MEAN WELL,XLC-60-12-DA2
1221060600,Unbekannt,PWM-60-12DA2
1221075600,MEAN WELL,ELG-75-12DA-3Y
1222018200,Tridonic Schweiz AG,28004434
1222018201,Tridonic Schweiz AG,28003519
1222020600,LEOMAY TECHNOLOGY COMPANY LIMITED,HDL-CV-20
1222025201,Ervotech AG,9453849-24V
1222035200,Tridonic Schweiz AG,28001662
1222035201,Tridonic Schweiz AG,28003520
1222035202,Tridonic Schweiz AG,28005503
1222035203,Tridonic Schweiz AG,28004430
1222040200,LUX-IT GmbH,843278
1222040600,LEOMAY TECHNOLOGY COMPANY LIMITED,HDL-CV-40
1222045200,EAGLERISE,LS-45-24 DALI2 LI
1222060200,Tridonic Schweiz AG,28004431
1222060201,Tridonic Schweiz AG,28003521
1222060202,KGP Electronics GmbH,LV60W24CG2 DALI
1222060203,Tridonic Schweiz AG,28005504
1222060600,MEAN WELL,PWM-60-24DA2
1222060601,LEOMAY TECHNOLOGY COMPANY LIMITED,HDL-CV-60
1222060602,CINCON,LDM60S
1222060603,Allegra Swiss GmbH,114942
1222060604,Unbekannt,XLN-60-24-DA2
1222075600,MEAN WELL,ELG-75-24DA-3Y
1222090600,Unbekannt,PWM-90-24DA2
1222100200,Tridonic Schweiz AG,28004432
1222100201,Tridonic Schweiz AG,28001436
1222100202,Unbekannt,MS-100-24-DALI2-LI
1222100600,MEAN WELL,ELG-100-24DA-3Y
1222150200,Tridonic Schweiz AG,28001923
1222150600,MEAN WELL,ELG-150-24DA-3Y
1222200200,Tridonic Schweiz AG,28004433 Open | 28004438 SP
1222200600,MEAN WELL,ELG-200-24DA-3WUSI
1222200601,Unbekannt,PWM-200-24DA2
1222200602,L&L Luce&Light Srl,AV0D024V20066
1222240600,MEAN WELL,ELG-240-24DA-3Y
1222240601,Allegra Swiss GmbH,114944
1222250200,KGP Electronics GmbH,LV250W24CG2 DALI
1224035200,Tridonic Schweiz AG,28003840
1224100200,Tridonic Schweiz AG,28003535
1224150200,EAGLERISE,SRPN-2305-150-48V
1224200200,Tridonic Schweiz AG,28003536 Open | 28003843 SP
1224200600,MEAN WELL,PWM-200-48DA2
1224240200,Unbekannt,SPWM-240-48DA2
1224240600,MEAN WELL,ELG-240-48DA-3Y
1231050200,Allegra Swiss GmbH,113928
1232019200,LUX-IT GmbH,45BA66002419
1232025200,LUX-IT GmbH,L5202402DT
1232050200,Allegra Swiss GmbH,113929
1232060600,LUX-IT GmbH,372718 / 112426
1241060200,Alexander Bürkle GmbH & Co. KG,58491 | 3213961
1242024200,LUX-IT GmbH,AL5012
1242030200,EAGLERISE,SRP-2305-30-MULTIDIM-24V
1242150200,Unbekannt,LUP150-LVDA
1242200200,EAGLERISE,SRP-TRIAC-200-24V
1262035200,Tridonic Schweiz AG,28002677
1262060200,Tridonic Schweiz AG,28002674
1262100200,Tridonic Schweiz AG,28002675
1262150200,Tridonic Schweiz AG,28002678
1272100200,EAGLERISE,SRPN-9101-100-24V
1310020200,Fabotech Handels AG,123400
1310020201,LUX-IT GmbH,125400
1310025200,LUX-IT GmbH,TRA-MULTI-DIM2
1310035200,LUX-IT GmbH,TRA-MULTI-DIM-NEW | PTDCMD35
1320020200,LUX-IT GmbH,125403 | 373037
1320020201,Fabotech Handels AG,151395
1320020202,Fabotech Handels AG,151403 | A005145
1320025200,TCI Telecomunicazioni Italia S.r.l.,151140 | A005194
1320032200,TCI Telecomunicazioni Italia S.r.l.,151424
1330020200,Fabotech Handels AG,127556
1340032200,Fabotech Handels AG,122680
1340067200,Inventronics Netherlands B.V.,4008321694317
1340120200,Monolicht GmbH,59.pwm.24.011
1402000000,eldoLED,TLU20504
1412120202,Neumüller Elektronik GmbH,1894848
1416004200,Inventronics Netherlands B.V.,4008321292599 | DALI REP LI
1421100200,EAGLERISE,SRPN-9101-100-TW-24V
1421100201,EAGLERISE,SRPN-9105-100-TW-24V
1422009200,RIBAG Licht AG,915.031.500 DT8
1422015201,Inventronics Netherlands B.V.,6937186150189 | OTi DALI 15/220-240/1A0 NFC TW I
1422025200,EAGLERISE,SRPY-2309N-25CCT300-850
1422030200,EAGLERISE,SRP-2309-30-TW-CC
1422045200,EAGLERISE,LS-45-24 DALI2-DT8 LI
1422050200,Inventronics Netherlands B.V.,4052899490772
1422050201,EAGLERISE,SRP-2309-50-TW-CC
1422075200,EAGLERISE,EULP75D-2H24V
1422075201,EAGLERISE,SRP-2309-75-TW-CC
1422080200,Inventronics Netherlands B.V.,4052899490758
1422080201,EAGLERISE,SRPL-2309N-80CCT1000-2000
1422080202,EAGLERISE,LS-80-24 DALI2-DT8 LI
1422100200,EAGLERISE,SRPN-2309-100-TW-24V
1422150200,EAGLERISE,LS-150-24 DALI2-DT8 LI
1422160200,Inventronics Netherlands B.V.,4052899986329
1431080200,Inventronics Netherlands B.V.,4008321808363
1432050200,marbach elektronik GmbH,PW0562A1
1441100200,EAGLERISE,SRPN-9101-100-RGBW-24V
1442000200,Robert Widmer AG,ABB BE/S 4.20.2.1
1442000201,Robert Widmer AG,N 141/31
1442030200,EAGLERISE,SRPL-2305N-30CC250-850
1442050200,Inventronics Netherlands B.V.,4052899452916
1442050201,eldoLED,PW0561A1
1442050202,marbach elektronik GmbH,PW50SA-M4Z0X1
1442075200,Inventronics Netherlands B.V.,4008321371560
1442075201,EAGLERISE,SRP-2309-75-PRO-24V
1442075202,EAGLERISE,SRP-2309-75-PRO-CC
1442080200,Inventronics Netherlands B.V.,4052899452893
1442080201,Inventronics Netherlands B.V.,4062172046558
1442100200,eldoLED,LIN100A1
1442100201,marbach elektronik GmbH,LIN100S1
1442100202,marbach elektronik GmbH,PW1060A1
1442120200,EAGLERISE,SRP-2309-120-PRO-24V
1442150200,EAGLERISE,SRPN-2309-150-RGBW-24V
1442180200,eldoLED,LIN180D3
1442180201,eldoLED,PWR180D2
1442200200,EAGLERISE,SRP-2309-200-PRO-24V
1442720200,marbach elektronik GmbH,LIN720D3
1443000000,Inventronics Netherlands B.V.,4008321053152
1443000001,Inventronics Netherlands B.V.,4008321421739
1446000200,Unbekannt,DAP-04-S01
1447000000,Inventronics Netherlands B.V.,4050300803135 | Y-CONNECTOR MULTI3
1447000001,Inventronics Netherlands B.V.,4008321053138
2175001000,NEKO Lighting GmbH,DS-W-GR6D-50W-300-1050-F
2175002000,NEKO Lighting GmbH,DS-B-GR6D-50W-350-1050-F
2185001000,NEKO Lighting GmbH,DS-W-GR6D-50W-300-1050-D
2185002000,NEKO Lighting GmbH,DS-B-GR6D-50W-350-1050-D
8810000023,Mikatron AG,305-409-212 | MKC8 ER-F/R EB1-SC LED
8810000024,Mikatron AG,305-409-042 | MKC5 80-PC ER-F EB1-SC LED
8811000010,Mikatron AG,300-409-201 | MKC8 ER-F/R LED
8890003000,Mikatron AG,361-503-002 USET EB-SC LED 8+8
